timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435295791563,-0.6875,1,-0.875,1.496088650448228,-0.6875,-1,-0.875
1435295791762,-0.6875,1.3125,-0.4375,1.5449008867885343,-0.6875,-1.3125,-0.4375
1435295791960,-0.4375,-0.0625,0.3125,0.5412658773652742,-0.4375,0.0625,0.3125
1435295792159,-0.3125,-0.375,-1.375,1.459077191241094,-0.3125,0.375,-1.375
1435295792358,-1.25,-0.5,0.375,1.3975424859373686,-1.25,0.5,0.375
1435295792557,-0.375,0.875,0.625,1.1388041973930374,-0.375,-0.875,0.625
1435295792756,-0.375,0.75,0.875,1.2119199643540823,-0.375,-0.75,0.875
1435295792954,0.125,2.5,-0.25,2.5155764746872635,0.125,-2.5,-0.25
1435295793153,0,0.625,0.0625,0.6281172263200556,0,-0.625,0.0625
1435295793352,-0.4375,-0.125,-0.125,0.47186465220442186,-0.4375,0.125,-0.125
1435295793551,-0.125,0.1875,0.5625,0.6059599821770412,-0.125,-0.1875,0.5625
1435295793750,-1.125,1.375,0.1875,1.7864507409945565,-1.125,-1.375,0.1875
1435295793949,0.1875,1.1875,0.125,1.2086924753633572,0.1875,-1.1875,0.125
1435295794147,-0.375,1,0.125,1.0752906583803283,-0.375,-1,0.125
1435295794346,-0.1875,1,-0.0625,1.0193441518937556,-0.1875,-1,-0.0625
1435295794545,0.625,2.5625,-0.125,2.640578771784701,0.625,-2.5625,-0.125
1435295794744,-0.3125,0.375,0.8125,0.9478594305064438,-0.3125,-0.375,0.8125
1435295795140,-0.3125,-0.625,0.1875,0.7234898064243891,-0.3125,0.625,0.1875
1435295795339,-0.25,0.9375,0.1875,0.9882117688026185,-0.25,-0.9375,0.1875
1435295795537,-0.0625,1.125,0.0625,1.1284668803292368,-0.0625,-1.125,0.0625
1435295795736,-0.0625,1.125,0.125,1.1336473217010659,-0.0625,-1.125,0.125
1435295795935,-0.1875,1.5,0,1.511673327805978,-0.1875,-1.5,0
1435295796134,-0.125,1.25,-0.1875,1.2701500895563484,-0.125,-1.25,-0.1875
1435295796333,0.0625,-0.0625,-0.25,0.2651650429449553,0.0625,0.0625,-0.25
1435295796531,1.5625,3.6875,-0.1875,4.009266609992406,1.5625,-3.6875,-0.1875
1435295796929,-0.5,0.8125,-0.125,0.9621752698962908,-0.5,-0.8125,-0.125
1435295796930,-0.25,1,0.125,1.0383279828647594,-0.25,-1,0.125
1435295797130,0.625,2.5,0,2.576941016011038,0.625,-2.5,0
1435295797327,0,-0.3125,0.5,0.5896238207535377,0,0.3125,0.5
1435295797525,0.0625,0.1875,0,0.19764235376052372,0.0625,-0.1875,0
1435295797724,-3.4375,-1,0.1875,3.5849075999249966,-3.4375,1,0.1875
1435295797923,-0.75,0.625,0.375,1.0458250331675945,-0.75,-0.625,0.375
1435295798121,-0.6875,1.125,0.3125,1.354967711792425,-0.6875,-1.125,0.3125
1435295798320,-0.4375,1.6875,-0.375,1.7831678272108882,-0.4375,-1.6875,-0.375
1435295798519,-0.5625,0,-0.5625,0.795495128834866,-0.5625,0,-0.5625
1435295798718,0.25,-0.0625,-0.8125,0.852386356061616,0.25,0.0625,-0.8125
1435295798917,-1.625,0.8125,0.3125,1.8434851504690781,-1.625,-0.8125,0.3125
1435295799115,0.625,-0.1875,-0.0625,0.6555055301063447,0.625,0.1875,-0.0625
1435295799512,-0.5,1,-0.3125,1.1608859763129193,-0.5,-1,-0.3125
