timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435300027860,-0.5,0.8125,0.25,0.9862333648787187,-0.5,-0.8125,0.25
1435300028056,-0.5625,0.8125,0.3125,1.0364452469860626,-0.5625,-0.8125,0.3125
1435300028253,-0.5625,0.75,0.25,0.9702609185162515,-0.5625,-0.75,0.25
1435300028451,-0.625,0.75,0.3125,1.0250762166785454,-0.625,-0.75,0.3125
1435300028652,-0.6875,0.75,0.25,1.0476909133900132,-0.6875,-0.75,0.25
1435300028850,-0.625,0.8125,0.3125,1.0716517624676405,-0.625,-0.8125,0.3125
1435300029048,-0.5625,0.8125,0.25,1.0193441518937556,-0.5625,-0.8125,0.25
1435300029247,-0.625,0.8125,0.3125,1.0716517624676405,-0.625,-0.8125,0.3125
1435300029644,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300029646,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300029844,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300030042,-0.625,0.8125,0.3125,1.0716517624676405,-0.625,-0.8125,0.3125
1435300030241,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300030439,-0.625,0.75,0.3125,1.0250762166785454,-0.625,-0.75,0.3125
1435300030638,-0.625,0.8125,0.3125,1.0716517624676405,-0.625,-0.8125,0.3125
1435300030837,-0.625,0.75,0.3125,1.0250762166785454,-0.625,-0.75,0.3125
1435300031036,-0.625,0.75,0.3125,1.0250762166785454,-0.625,-0.75,0.3125
1435300031235,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300031434,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300031632,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300031831,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300032030,-0.625,0.8125,0.3125,1.0716517624676405,-0.625,-0.8125,0.3125
1435300032229,-0.625,0.75,0.3125,1.0250762166785454,-0.625,-0.75,0.3125
1435300032427,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300032825,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300032827,-0.625,0.75,0.3125,1.0250762166785454,-0.625,-0.75,0.3125
1435300033024,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300033222,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300033422,-0.625,0.75,0.3125,1.0250762166785454,-0.625,-0.75,0.3125
1435300033620,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300033820,-0.625,0.75,0.25,1.0077822185373186,-0.625,-0.75,0.25
1435300034018,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300034216,-0.625,0.8125,0.3125,1.0716517624676405,-0.625,-0.8125,0.3125
1435300034415,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
1435300034614,-0.625,0.8125,0.25,1.0551214385083834,-0.625,-0.8125,0.25
