x(t-1), y(t-1), x(t), y(t), theta1(t-1), theta2(t-1), theta1(t), theta2(t), training
1.208019,2.934492,0.9476646,3.028611,75,255,70,255,true
0.9476646,3.028611,0.6800979,3.099681,70,255,65,255,true
0.6800979,3.099681,0.4073543,3.14716,65,255,60,255,true
0.4073543,3.14716,0.134127,3.170578,60,255,55,255,true
0.134127,3.170578,-0.1409698,3.170281,55,255,50,255,true
-0.1409698,3.170281,-0.4156997,3.146069,50,255,45,255,true
-0.4156997,3.146069,-0.6878021,3.09798,45,255,40,255,true
-0.6878021,3.09798,-0.9550244,3.026299,40,255,35,255,true
-0.9550244,3.026299,-1.215151,2.931546,35,255,30,255,true
-1.215151,2.931546,-1.465319,2.814852,30,255,25,255,true
-1.465319,2.814852,-1.986927,2.837626,25,255,25,240,true
-1.986927,2.837626,-2.496656,2.724622,25,240,25,225,true
-2.496656,2.724622,-2.724207,2.497109,25,225,25,225,true
-2.724207,2.497109,-2.931353,2.25034,25,225,20,225,true
-2.931353,2.25034,-3.116329,1.986291,20,225,15,225,true
-3.116329,1.986291,-3.277589,1.707124,15,225,10,225,true
-3.277589,1.707124,-2.837188,1.987553,10,225,10,240,true
-2.837188,1.987553,-2.339213,2.144443,10,240,10,255,true
-2.339213,2.144443,-1.817601,2.167102,10,255,10,270,true
-1.817601,2.167102,-1.621809,2.31727,10,270,15,270,true
-1.621809,2.31727,-1.413674,2.449802,15,270,20,270,true
-1.413674,2.449802,-1.19478,2.56369,20,270,25,270,true
-1.19478,2.56369,-0.9667938,2.658066,25,270,30,270,true
-0.9667938,2.658066,-0.7314488,2.732213,30,270,35,270,true
-0.7314488,2.732213,-0.4905373,2.785566,35,270,40,270,true
-0.4905373,2.785566,-0.2482361,2.817514,40,270,40,270,true
-0.2482361,2.817514,-0.003303886,2.828426,40,270,45,270,true
-0.003303886,2.828426,0.2422767,2.818033,45,270,50,270,true
0.2422767,2.818033,0.4864926,2.786275,50,270,55,270,true
0.4864926,2.786275,0.7273254,2.733313,55,270,60,270,true
0.7273254,2.733313,0.9627823,2.659522,60,270,65,270,true
0.9627823,2.659522,1.19092,2.565486,65,270,70,270,true
1.19092,2.565486,0.9490399,3.028182,70,270,70,255,true
0.9490399,3.028182,0.595647,3.412508,70,255,70,240,true
0.595647,3.412508,0.1548247,3.692275,70,240,70,225,true
0.1548247,3.692275,-0.343386,3.848415,70,225,70,210,true
-0.343386,3.848415,-0.8650323,3.870288,70,210,70,195,true
-0.8650323,3.870288,-1.374565,3.756404,70,195,70,180,true
-1.374565,3.756404,-1.837261,3.514524,70,180,70,165,true
-1.837261,3.514524,-2.221587,3.161132,70,165,70,150,true
-2.221587,3.161132,-2.501354,2.720309,70,150,70,135,true
-2.501354,2.720309,-2.657494,2.2221,70,135,70,135,true
-2.657494,2.2221,-2.837626,1.986928,70,135,70,135,true
-2.837626,1.986928,-2.814852,1.46532,70,135,70,120,true
-2.814852,1.46532,-2.657853,0.9673802,70,120,70,105,true
-2.657853,0.9673802,-2.377326,0.5270412,70,105,70,90,true
-2.377326,0.5270412,-1.992391,0.1743125,70,90,70,75,true
-1.992391,0.1743125,-1.529278,-0.06676912,70,75,70,60,true
