timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435295151192,0.3125,0.75,0.125,0.8220591523728691,0.3125,-0.75,0.125
1435295151193,-2.625,1.3125,-0.125,2.9375,-2.625,-1.3125,-0.125
1435295151389,0.4375,3.25,0.3125,3.2941709882761097,0.4375,-3.25,0.3125
1435295151786,0.5,2.25,0.75,2.4238399287081647,0.5,-2.25,0.75
1435295151788,0.1875,0.5625,0.5,0.7756046028744286,0.1875,-0.5625,0.5
1435295151789,-3.4375,1.125,-0.3125,3.6303839328644014,-3.4375,-1.125,-0.3125
1435295152383,-1,1.9375,0.75,2.3057333432120894,-1,-1.9375,0.75
1435295152384,0.8125,2.75,0.5625,2.92216743189024,0.8125,-2.75,0.5625
1435295152386,0.1875,-1.5625,-0.1875,1.5848402916382458,0.1875,1.5625,-0.1875
1435295152581,-3.1875,2.4375,-0.75,4.082163948201983,-3.1875,-2.4375,-0.75
1435295152583,-0.9375,1.3125,0.25,1.6321956071500745,-0.9375,-1.3125,0.25
1435295152979,0.625,1.875,-0.0625,1.9774115024445469,0.625,-1.875,-0.0625
1435295152981,-0.375,-1.5625,-0.3125,1.6369751067135994,-0.375,1.5625,-0.3125
1435295153377,-2.0625,1.0625,-0.8125,2.458245054912142,-2.0625,-1.0625,-0.8125
1435295153379,-0.6875,2.125,0.6875,2.3368648869799897,-0.6875,-2.125,0.6875
1435295153774,-0.4375,1.9375,0.25,2.0019521722558706,-0.4375,-1.9375,0.25
1435295153776,0.4375,0.75,-0.4375,0.9722718241315028,0.4375,-0.75,-0.4375
1435295154172,-0.375,1.375,-1.375,1.9803724397193574,-0.375,-1.375,-1.375
1435295154173,-0.25,1.8125,0.3125,1.8561553006146871,-0.25,-1.8125,0.3125
1435295154768,-0.875,2.3125,0.125,2.475662790042295,-0.875,-2.3125,0.125
1435295154769,0.625,1.25,-0.0625,1.398939330349962,0.625,-1.25,-0.0625
1435295154771,-0.0625,1.25,1.9375,2.3065802609057418,-0.0625,-1.25,1.9375
1435295154967,6.25,2.375,0.75,6.727973320398944,6.25,-2.375,0.75
1435295155166,0.4375,1.8125,0.25,1.8812396179115514,0.4375,-1.8125,0.25
1435295155364,0.625,1.625,0.3125,1.7688714622606132,0.625,-1.625,0.3125
1435295155563,0.125,0.9375,-0.875,1.288470508005519,0.125,-0.9375,-0.875
1435295155961,2.375,5.9375,-0.0625,6.395188621143242,2.375,-5.9375,-0.0625
1435295155962,0.75,2.3125,0.3125,2.4510839438909473,0.75,-2.3125,0.3125
1435295156159,0.375,1.9375,0.5625,2.0520568949227505,0.375,-1.9375,0.5625
1435295156358,-0.125,0.6875,4.1875,4.2454019244354235,-0.125,-0.6875,4.1875
1435295156557,-8,1.25,-0.375,8.105746418436738,-8,-1.25,-0.375
1435295156756,0.1875,2.8125,0.3125,2.8360128261346067,0.1875,-2.8125,0.3125
1435295156955,0.4375,2.0625,0.625,2.1990765107198977,0.4375,-2.0625,0.625
1435295157153,0,0.5,-0.4375,0.6643841132959156,0,-0.5,-0.4375
1435295157551,-3.1875,1,-0.4375,3.3692079929858885,-3.1875,-1,-0.4375
1435295157552,-0.5,2.3125,0.4375,2.4060470693650196,-0.5,-2.3125,0.4375
1435295157749,0.5,2.25,0.375,2.3351927115336757,0.5,-2.25,0.375
1435295157948,0,-0.3125,-0.25,0.40019526483955303,0,0.3125,-0.25
1435295158147,-4.25,1.875,0.0625,4.645646483537033,-4.25,-1.875,0.0625
1435295158346,-0.9375,1.75,0.1875,1.994132016692977,-0.9375,-1.75,0.1875
1435295158544,0.8125,2.1875,0.0625,2.3343561746228874,0.8125,-2.1875,0.0625
1435295158743,-0.3125,-1.1875,-1,1.583607432414991,-0.3125,1.1875,-1
1435295159141,-3.3125,1.9375,-0.6875,3.8986175434376733,-3.3125,-1.9375,-0.6875
1435295159142,-1.0625,1,0.25,1.4803399102908763,-1.0625,-1,0.25
1435295159538,1.0625,1.8125,0.125,2.104682280060342,1.0625,-1.8125,0.125
1435295159540,-0.5625,-1.3125,-0.4375,1.4934753931685651,-0.5625,1.3125,-0.4375
1435295159737,-1.6875,0.8125,0.6875,1.995111212439046,-1.6875,-0.8125,0.6875
1435295159936,-1.625,0.625,0.6875,1.871872391483992,-1.625,-0.625,0.6875
1435295160135,-0.9375,1.125,0.25,1.4856080405005891,-0.9375,-1.125,0.25
1435295160532,0.375,0.8125,0.1875,0.9142961773954871,0.375,-0.8125,0.1875
1435295160533,-0.1875,0.875,-2.1875,2.3634588001486296,-0.1875,-0.875,-2.1875
1435295160731,-2.3125,3.125,0.875,3.98483453232377,-2.3125,-3.125,0.875
1435295160930,0.375,1.8125,0.1875,1.860359508267152,0.375,-1.8125,0.1875
1435295161326,0.5,1.75,0.125,1.824314939915803,0.5,-1.75,0.125
1435295161525,-1.375,0.6875,-0.5,1.6165646445471953,-1.375,-0.6875,-0.5
1435295161923,-1.375,0.6875,-0.0625,1.5385667031363963,-1.375,-0.6875,-0.0625
1435295161925,0.6875,2.6875,0.25,2.785284994394649,0.6875,-2.6875,0.25
1435295162121,0.4375,1.75,0.3125,1.8307273144846012,0.4375,-1.75,0.3125
1435295162320,0.1875,0.3125,0.25,0.4419417382415922,0.1875,-0.3125,0.25
1435295162518,-3.625,1.375,0.125,3.879030162295725,-3.625,-1.375,0.125
1435295162717,-0.8125,1.9375,0.3125,2.1240806834958037,-0.8125,-1.9375,0.3125
